ISSN,Título,Área de Avaliação,Classificação
1094-6977,"IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS. PART C, APPLICATIONS AND REVIEWS",CIÊNCIA DA COMPUTAÇÃO,A1
0018-9545,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,A1
1063-8210,IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
1077-2626,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,CIÊNCIA DA COMPUTAÇÃO,A1
1536-1276,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,CIÊNCIA DA COMPUTAÇÃO,A1
1536-1284,IEEE WIRELESS COMMUNICATIONS,CIÊNCIA DA COMPUTAÇÃO,A1
1063-6692,IEEE/ACM TRANSACTIONS ON NETWORKING (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
0262-8856,IMAGE AND VISION COMPUTING,CIÊNCIA DA COMPUTAÇÃO,A1
1566-2535,INFORMATION FUSION (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
0306-4573,INFORMATION PROCESSING & MANAGEMENT,CIÊNCIA DA COMPUTAÇÃO,A1
0020-0255,INFORMATION SCIENCES,CIÊNCIA DA COMPUTAÇÃO,A1
1069-2509,INTEGRATED COMPUTER-AIDED ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,A1
0271-2091,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
0888-613X,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,CIÊNCIA DA COMPUTAÇÃO,A1
1365-8816,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
1071-5819,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
1386-5056,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,CIÊNCIA DA COMPUTAÇÃO,A1
0129-0657,INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,A1
1366-588X,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,CIÊNCIA DA COMPUTAÇÃO,A1
0020-7543,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
